year,country_name,korean_pine,other_forest,non_forest
2000.0,Republic of Korea,5864.379382291059,58205.66012057174,30086.009732585586
2000.0,Dem People's Rep of Korea,5292.916104246031,80181.43228912032,36990.87296288861
2000.0,China,14121.87185998126,513388.80315114226,815391.2692200511
2000.0,Japan,69479.96363617443,142192.067130634,66134.94757076762
2000.0,Russian Federation,253917.80696555198,779805.0778819683,140565.14829572052
2001.0,Republic of Korea,5852.241038481733,58136.10186865408,30167.70632831253
2001.0,Dem People's Rep of Korea,5293.056520427559,80089.06347002806,37083.10136579074
2001.0,China,14095.313561104842,512736.4878570503,816070.1428129859
2001.0,Japan,69435.76481214727,142055.23715075664,66315.97637469103
2001.0,Russian Federation,253677.11977337496,780799.1729931429,139811.7403767397
2002.0,Republic of Korea,5826.624125718057,58090.73192799753,30238.693181732142
2002.0,Dem People's Rep of Korea,5280.114748440824,80154.33544977107,37030.77115804296
2002.0,China,13992.613730443181,512568.9548752142,816340.37562549
2002.0,Japan,69386.9423778999,142054.7125786193,66365.32338105689
2002.0,Russian Federation,252932.66388427463,781258.7965358028,140096.5727231993
2003.0,Republic of Korea,5803.78814174992,58045.077155848325,30307.183937850783
2003.0,Dem People's Rep of Korea,5256.532799663262,80181.10799866317,37027.58055793076
2003.0,China,13920.704554046595,511731.1632520476,817250.0764250809
2003.0,Japan,69290.17038659782,142050.5611539106,66466.24679706484
2003.0,Russian Federation,251968.98973001412,782640.9853024374,139678.05811081812
2004.0,Republic of Korea,5786.56255878163,58043.646239979396,30325.840436688137
2004.0,Dem People's Rep of Korea,5233.4689103848405,80185.43802959788,37046.3144162635
2004.0,China,13822.556155704087,511176.2718962042,817903.1161792725
2004.0,Japan,69173.92887389082,142072.36329603233,66560.6861676582
2004.0,Russian Federation,251259.105140448,783163.1748906899,139865.75311215114
2005.0,Republic of Korea,5764.51100643701,57969.08513524931,30422.453093761826
2005.0,Dem People's Rep of Korea,5208.024655476499,80175.1332856402,37082.06341513998
2005.0,China,13733.782525813545,510803.6793748792,818364.4823304655
2005.0,Japan,69064.86918869663,142059.93721677113,66682.17193211164
2005.0,Russian Federation,250570.05896122463,783052.3733660218,140665.6008159286
2006.0,Republic of Korea,5738.857829190518,57844.333579284845,30572.85782697366
2006.0,Dem People's Rep of Korea,5186.034226944979,80129.72357786953,37149.46355146225
2006.0,China,13682.04401075485,510134.69229830307,819085.2079221528
2006.0,Japan,68958.12477065154,142083.07122458346,66765.7823423422
2006.0,Russian Federation,249773.34474858316,782354.9864649684,142159.70192971322
2007.0,Republic of Korea,5713.881938862876,57771.74260690761,30670.42468967781
2007.0,Dem People's Rep of Korea,5156.653008195066,80075.81733401484,37232.751014047746
2007.0,China,13664.55551446262,508962.7680948683,820274.6206218062
2007.0,Japan,68863.22144389116,142100.32178937172,66843.43510431354
2007.0,Russian Federation,248709.10116650662,780872.0542919243,144706.8776848154
2008.0,Republic of Korea,5695.61804479029,57738.85815621774,30721.573034439774
2008.0,Dem People's Rep of Korea,5139.30292269738,80023.65287464393,37302.265558915795
2008.0,China,13594.281530826676,507751.93459725566,821555.7281030836
2008.0,Japan,68777.27804888162,142041.1171425373,66988.58314615727
2008.0,Russian Federation,247840.54670431733,781700.9446868727,144746.54175201835
2009.0,Republic of Korea,5673.429933881529,57683.43348401911,30799.18581754783
2009.0,Dem People's Rep of Korea,5127.084380268435,80015.5944220842,37322.54255391362
2009.0,China,13516.065975806727,507800.7994960788,821585.078759303
2009.0,Japan,68710.35359649544,142031.57779039524,67065.04695068744
2009.0,Russian Federation,247338.41320710425,781518.2448199992,145431.37511618534
2010.0,Republic of Korea,5654.959650294295,57601.45686627039,30899.632718883197
2010.0,Dem People's Rep of Korea,5113.024708849432,80017.43924036542,37334.75740706244
2010.0,China,13524.57770984364,507653.776142551,821723.590378776
2010.0,Japan,68613.89391934787,142028.8703444629,67164.21407376381
2010.0,Russian Federation,246652.1296182294,781184.0361312493,146451.8673937553
2011.0,Republic of Korea,5637.729101104807,57540.512432819254,30977.80770152362
2011.0,Dem People's Rep of Korea,5104.815159745376,80006.45809294246,37353.94810356718
2011.0,China,13486.717254902465,507368.54169258894,822046.6852837205
2011.0,Japan,68552.65419003648,142026.36117314847,67227.96297438713
2011.0,Russian Federation,245595.39440495748,781104.5660813892,147588.07265688773
2012.0,Republic of Korea,5616.594071071805,57496.0450209389,31043.410143437002
2012.0,Dem People's Rep of Korea,5073.708865331412,80010.58098633477,37380.93150459142
2012.0,China,13472.988080570354,507386.04685731814,822042.9092932786
2012.0,Japan,68454.43491723876,141958.0906336776,67394.45278667044
2012.0,Russian Federation,243995.41536698744,783826.2359297012,146466.3818466071
2013.0,Republic of Korea,5605.452453256442,57473.64534813611,31076.951434055816
2013.0,Dem People's Rep of Korea,5059.000038757896,79856.44694757681,37549.77436991156
2013.0,China,13508.184379929671,506969.0608305185,822424.6990206919
2013.0,Japan,68365.93034087229,141923.7829146765,67517.26508204198
2013.0,Russian Federation,242693.4001231148,782243.5275769371,149351.10544319917
2014.0,Republic of Korea,5586.358935961405,57495.56882772674,31074.121471760707
